Linux 6.6.8-swap-profiling (amd3) 	12/10/24 	_x86_64_	(128 CPU)

08:14:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:14:39        all      0.04      0.00      0.02      0.02      0.00     99.91
08:14:40        all      0.88      0.00     52.16      0.00      0.00     46.96
08:14:41        all      0.97      0.00     76.57      0.00      0.00     22.46
08:14:42        all      1.01      0.00     90.19      0.00      0.00      8.81
08:14:43        all      1.55      0.00     95.39      0.00      0.00      3.06
08:14:44        all      0.32      0.00     99.38      0.00      0.00      0.30
08:14:45        all      0.02      0.00     99.95      0.00      0.00      0.03
08:14:46        all      0.00      0.00    100.00      0.00      0.00      0.00
08:14:47        all      0.00      0.00     99.94      0.01      0.00      0.04
08:14:48        all      0.15      0.00     99.48      0.09      0.00      0.27
08:14:49        all      0.22      0.00     99.47      0.10      0.00      0.20
08:14:50        all      0.27      0.00     99.45      0.04      0.00      0.25
08:14:51        all      0.24      0.00     99.06      0.18      0.00      0.52
08:14:52        all      0.29      0.00     82.08     14.12      0.00      3.51
08:14:53        all      0.19      0.00     38.14     55.76      0.00      5.91
08:14:54        all      0.15      0.00     42.91     50.51      0.00      6.43
08:14:55        all      0.33      0.00     54.64     43.41      0.00      1.63
08:14:56        all      0.31      0.00     86.13     12.72      0.00      0.83
08:14:57        all      0.33      0.00     73.35     23.24      0.00      3.08
08:14:58        all      0.28      0.00     65.42     31.97      0.00      2.33
08:14:59        all      0.27      0.00     78.54     20.03      0.00      1.16
08:15:00        all      0.25      0.00     33.82     64.47      0.00      1.46
08:15:01        all      0.10      0.00      5.68     90.12      0.00      4.09
08:15:02        all      0.04      0.00      3.64     90.66      0.00      5.66
08:15:03        all      0.09      0.00      4.51     88.91      0.00      6.49
08:15:04        all      0.07      0.00      4.63     88.27      0.00      7.03
08:15:05        all      0.06      0.00      4.13     88.35      0.00      7.46
08:15:06        all      0.06      0.00      4.51     88.43      0.00      7.00
08:15:07        all      0.09      0.00      5.12     89.03      0.00      5.75
08:15:08        all      0.07      0.00      4.95     88.26      0.00      6.72
08:15:09        all      0.09      0.00      4.55     86.97      0.00      8.38
08:15:10        all      0.23      0.00      5.68     86.37      0.00      7.72
08:15:11        all      0.13      0.00      5.82     84.58      0.00      9.47
08:15:12        all      0.18      0.00      5.81     83.15      0.00     10.85
08:15:13        all      0.12      0.00     10.54     78.42      0.00     10.93
08:15:14        all      0.09      0.00     95.41      2.80      0.00      1.70
08:15:15        all      0.06      0.00     97.90      1.42      0.00      0.62
