Linux 6.6.8combine_proposed_scheme (amd3) 	12/09/24 	_x86_64_	(128 CPU)

08:06:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:06:14        all      0.02      0.00      0.02      0.00      0.00     99.96
08:06:15        all      7.61      0.00     69.34      0.00      0.00     23.05
08:06:16        all      6.88      0.00     93.12      0.00      0.00      0.00
08:06:17        all      5.86      0.00     94.14      0.00      0.00      0.00
08:06:18        all      5.18      0.00     94.82      0.00      0.00      0.00
08:06:19        all      1.82      0.00     98.18      0.00      0.00      0.00
08:06:20        all      1.66      0.00     98.34      0.00      0.00      0.00
08:06:21        all      1.99      0.00     86.96     10.32      0.00      0.74
08:06:22        all      0.31      0.00     87.11     10.31      0.00      2.26
08:06:23        all      0.32      0.00     99.23      0.00      0.00      0.45
08:06:24        all      0.54      0.00     98.43      0.00      0.00      1.03
08:06:25        all      0.54      0.00     99.31      0.00      0.00      0.16
08:06:26        all      0.62      0.00     99.22      0.01      0.00      0.15
08:06:27        all      0.57      0.00     99.23      0.00      0.00      0.20
08:06:28        all      0.69      0.00     99.23      0.01      0.00      0.08
08:06:29        all      0.77      0.00     99.23      0.00      0.00      0.00
08:06:30        all      0.54      0.00     99.46      0.00      0.00      0.01
08:06:31        all      0.48      0.00     99.52      0.00      0.00      0.00
08:06:32        all      0.58      0.00     99.42      0.00      0.00      0.00
08:06:33        all      0.79      0.00     99.09      0.02      0.00      0.09
08:06:34        all      0.66      0.00     99.34      0.00      0.00      0.00
08:06:35        all      0.73      0.00     99.27      0.00      0.00      0.00
08:06:36        all      0.63      0.00     99.36      0.01      0.00      0.00
08:06:37        all      0.59      0.00     99.41      0.00      0.00      0.00
08:06:38        all      0.68      0.00     99.16      0.16      0.00      0.00
08:06:39        all      0.76      0.00     98.40      0.63      0.00      0.22
08:06:40        all      0.65      0.00     96.42      1.65      0.00      1.28
08:06:41        all      0.61      0.00     93.55      3.68      0.00      2.17
08:06:42        all      0.60      0.00     90.73      5.16      0.00      3.52
08:06:43        all      0.64      0.00     87.32      7.10      0.00      4.95
08:06:44        all      0.70      0.00     83.45      9.27      0.00      6.58
08:06:45        all      0.68      0.00     80.99     10.38      0.00      7.94
08:06:46        all      0.67      0.00     79.83     11.22      0.00      8.28
08:06:47        all      0.63      0.00     79.63     11.10      0.00      8.65
08:06:48        all      0.62      0.00     78.99     11.22      0.00      9.17
08:06:49        all      0.82      0.00     78.49     10.90      0.00      9.79
08:06:50        all      0.66      0.00     79.07     11.29      0.00      8.98
08:06:51        all      0.67      0.00     78.85     11.76      0.00      8.72
08:06:52        all      0.70      0.00     79.12     11.72      0.00      8.46
08:06:53        all      0.66      0.00     77.96     12.00      0.00      9.39
08:06:54        all      0.68      0.00     78.08     11.69      0.00      9.55
08:06:55        all      0.77      0.00     78.10     11.83      0.00      9.30
08:06:56        all      0.64      0.00     78.52     11.94      0.00      8.91
08:06:57        all      1.28      0.00     77.26     11.43      0.00     10.04
08:06:58        all      1.29      0.00     77.81     11.71      0.00      9.19
08:06:59        all      1.21      0.00     77.59     12.09      0.00      9.11
08:07:00        all      1.13      0.00     77.28     12.36      0.00      9.24
08:07:01        all      0.74      0.00     77.00     12.48      0.00      9.78
08:07:02        all      0.72      0.00     76.76     13.07      0.00      9.44
08:07:03        all      0.77      0.00     76.53     12.66      0.00     10.04
08:07:04        all      0.62      0.00     76.87     12.47      0.00     10.04
08:07:05        all      0.62      0.00     76.49     12.69      0.00     10.20
08:07:06        all      0.79      0.00     76.38     12.86      0.00      9.97
08:07:07        all      0.68      0.00     77.21     12.32      0.00      9.79
08:07:08        all      0.70      0.00     77.14     12.59      0.00      9.57
08:07:09        all      0.69      0.00     76.64     12.68      0.00      9.99
08:07:10        all      0.83      0.00     76.68     12.28      0.00     10.21
08:07:11        all      0.85      0.00     77.41     12.45      0.00      9.29
08:07:12        all      0.70      0.00     77.38     12.39      0.00      9.53
08:07:13        all      0.76      0.00     77.50     12.08      0.00      9.65
08:07:14        all      0.72      0.00     76.62     12.75      0.00      9.91
08:07:15        all      0.64      0.00     77.06     12.35      0.00      9.95
08:07:16        all      0.89      0.00     76.42     12.20      0.00     10.50
08:07:17        all      0.69      0.00     77.23     11.77      0.00     10.31
08:07:18        all      0.63      0.00     76.27      9.49      0.00     13.62
08:07:19        all      0.74      0.00     74.34      4.74      0.00     20.18
08:07:20        all      0.37      0.00     77.66      0.96      0.00     21.01
08:07:21        all      0.35      0.00     69.09      0.98      0.00     29.57
08:07:22        all      0.08      0.00     63.71      0.25      0.00     35.95
08:07:23        all      1.19      0.00     13.99      0.26      0.00     84.56


Average:        all      1.07      0.00     83.06      6.45      0.00      9.42
