Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 75833344, 18515, 10988.41
1, 384962560, 75471, 13184.38
2, 695889920, 75910, 13105.18
3, 942845952, 60292, 16519.94
4, 1044185088, 24741, 44097.83
5, 1048940544, 1161, 800479.20
6, 1051570176, 642, 1819473.90
7, 1053868032, 561, 1443910.42
8, 1101721600, 11683, 88523.27
9, 1176522752, 18262, 54910.85
10, 1227968512, 12560, 76501.09
11, 1279946752, 12690, 80229.84
12, 1339207680, 14468, 70704.78
13, 1404899328, 16038, 61579.52
14, 1458659328, 13125, 73984.02
15, 1522327552, 15544, 64733.12
16, 1624113152, 24850, 40096.21
17, 1716559872, 22570, 43959.07
18, 1809948672, 22800, 43590.06
19, 1904259072, 23025, 43549.33
20, 1998233600, 22943, 43388.63
21, 2102046720, 25345, 40359.91
22, 2143518720, 10125, 101878.06
23, 2201571328, 14173, 66681.00
24, 2263031808, 15005, 67490.91
25, 2328285184, 15931, 62027.03
26, 2402115584, 18025, 55011.11
27, 2478493696, 18647, 53563.23
28, 2532216832, 13116, 78942.36
29, 2562056192, 7285, 132023.83
30, 2617274368, 13481, 75163.01
31, 2674155520, 13887, 73552.43
32, 2741022720, 16325, 62882.81
33, 2783592448, 10393, 89982.10
34, 2839171072, 13569, 76106.71
35, 2900107264, 14877, 68225.99
36, 2945331200, 11041, 89097.47
37, 3008761856, 15486, 65874.95
38, 3090214912, 19886, 47377.55
39, 3149594624, 14497, 68914.92
40, 3206733824, 13950, 73900.04
41, 3265024000, 14231, 69083.99
42, 3320283136, 13491, 72931.97
43, 3357270016, 9030, 114275.24
44, 3408953344, 12618, 76985.20
45, 3463520256, 13322, 74913.29
46, 3507810304, 10813, 93266.39
47, 3580960768, 17859, 55474.38
48, 3647692800, 16292, 61098.73
49, 3724668928, 18793, 53018.88
50, 3801632768, 18790, 53584.21
51, 3903471616, 24863, 39812.54
52, 3985932288, 20132, 49604.21
53, 4092092416, 25918, 38598.31
54, 4194164736, 24920, 40142.10
55, 4334452736, 34250, 28998.49
56, 4470898688, 33312, 30196.55
57, 4608913408, 33695, 29440.68
58, 4815679488, 50480, 19892.80
59, 4831838208, 10226, 99009.18
60, 4831838208, 9144, 106483.73
61, 4831838208, 9216, 110174.20
62, 4831838208, 9272, 107303.81
63, 4831838208, 9504, 103656.56
64, 4831838208, 10696, 98750.45
65, 4831838208, 7800, 120529.70
66, 4831838208, 9896, 107979.33
67, 4831838208, 8853, 104680.50
68, 4831838208, 10283, 102478.68
69, 4831838208, 10248, 92248.06
70, 4831838208, 9585, 103806.73
71, 4831838208, 12495, 80281.87
72, 4831838208, 11520, 86394.48
73, 4831838208, 10928, 91739.30
74, 4831838208, 11840, 83803.62
75, 4831838208, 10928, 91979.68
76, 4831838208, 11120, 89075.54
77, 4831838208, 9984, 104034.03
78, 4831838208, 10304, 93751.36
79, 4831838208, 10864, 91056.05
80, 4831838208, 9960, 101392.82
81, 4831838208, 10887, 90684.97
82, 4831838208, 12441, 80855.26
83, 4831838208, 10747, 92003.64
84, 4831838208, 12605, 79790.82
85, 4831838208, 12352, 80129.65
86, 4831838208, 12952, 77047.21
87, 4831838208, 11867, 84176.21
88, 4831838208, 10925, 92377.02
89, 4831838208, 11184, 88163.09
90, 4831838208, 10280, 97078.13
91, 4831838208, 9592, 104132.79
92, 4831838208, 11240, 88724.96
93, 4831838208, 11272, 88855.37
94, 4831838208, 10792, 92176.24
95, 4831838208, 10608, 95434.56
96, 4831838208, 10648, 92447.21
97, 4831838208, 11664, 86227.81
98, 4831838208, 10907, 90811.50
99, 4831838208, 12787, 78039.64
100, 4831838208, 12498, 80046.59
101, 4831838208, 12536, 79439.87
102, 4831838208, 11152, 90365.51
103, 4831838208, 13296, 74583.45
104, 4831838208, 12480, 80395.97
105, 4831838208, 12275, 80688.14
106, 4831838208, 12453, 80180.58
107, 4831838208, 11104, 89842.78
108, 4831838208, 11616, 85931.75
109, 4831838208, 10056, 99275.63
110, 4831838208, 11376, 88824.56
111, 4831838208, 10634, 92663.53
112, 4831838208, 12246, 81632.87
113, 4831838208, 11256, 88519.87
114, 4831838208, 10535, 94699.21
115, 4831838208, 11206, 89142.55
116, 4831838208, 11597, 86058.79
117, 4831838208, 11566, 86325.99
118, 4831838208, 13248, 75269.52
119, 4831838208, 10840, 92154.96
120, 4831838208, 11588, 86142.27
121, 4831838208, 11068, 90127.36
122, 4831838208, 11544, 86732.71
123, 4831838208, 8834, 112721.65
124, 4831838208, 11783, 84698.30
125, 4831838208, 12545, 79573.76
126, 4831838208, 12990, 77670.18
127, 4831838208, 12800, 77822.81
128, 4831838208, 11563, 85913.09
129, 4831838208, 10837, 91677.45
130, 4831838208, 11944, 83525.26
131, 4831838208, 13248, 75295.91
132, 4831838208, 11168, 89531.06
133, 4831838208, 11328, 88682.06
134, 4831838208, 10972, 90270.66
135, 4831838208, 11524, 86678.11
136, 4831838208, 12304, 81072.31
137, 4831838208, 12226, 81717.44
138, 4831838208, 11094, 90931.92
139, 4831838208, 11216, 88083.45
140, 4831838208, 10352, 96816.98
141, 4831838208, 10560, 94042.21
142, 4831838208, 10120, 99251.49
143, 4831838208, 9616, 103157.37
144, 4831838208, 10736, 93267.15
145, 4831838208, 11256, 89067.99
146, 4831838208, 11641, 85132.00
147, 4831838208, 11895, 84589.15
148, 4831838208, 10984, 90128.69
149, 4831838208, 13734, 72737.49
150, 4831838208, 18690, 53284.47
151, 4831838208, 14272, 69990.80
152, 4831838208, 16206, 61456.67
153, 4831838208, 15922, 62599.09
154, 4831838208, 28716, 34651.59
155, 4831838208, 27734, 35921.51
156, 4831838208, 35065, 28377.84
