Elapsed_Time(s), Memory_Usage(Bytes), Access_Count, Avg_Latency(ns)
0, 155586560, 37986, 9912.13
1, 615219200, 112215, 8843.35
2, 1116110848, 122288, 8110.28
3, 1472921600, 87112, 11412.32
4, 1750888448, 67863, 14668.43
5, 1901543424, 36781, 27134.04
6, 2064678912, 39828, 25039.06
7, 2225176576, 39184, 25444.82
8, 2373611520, 36239, 27522.12
9, 2473066496, 24281, 41112.12
10, 2613080064, 34183, 29238.00
11, 2763784192, 36793, 27114.38
12, 2900574208, 33396, 29831.38
13, 3054903296, 37678, 26443.51
14, 3205455872, 36756, 27145.60
15, 3394867200, 46243, 21549.22
16, 3598045184, 49604, 20087.54
17, 3855654912, 62893, 15837.26
18, 4143824896, 70354, 14133.75
19, 4448403456, 74360, 13379.61
20, 4725215232, 67581, 14729.06
21, 4939624448, 52346, 19035.61
22, 5220466688, 68565, 14516.29
23, 5492760576, 66478, 14975.02
24, 5759717376, 65175, 15280.60
25, 6014111744, 62108, 16027.37
26, 6266028032, 61503, 16190.87
27, 6528897024, 64177, 15514.18
28, 6710022144, 44220, 22553.37
29, 6956929024, 60280, 16522.85
30, 7211585536, 62172, 16019.76
31, 7467073536, 62375, 15954.40
32, 7694807040, 55599, 17920.21
33, 7872147456, 43296, 23097.27
34, 8127029248, 62227, 15953.44
35, 8391860224, 64656, 15398.76
36, 8662536192, 66083, 15089.98
37, 8939040768, 67506, 14766.34
38, 9104977920, 40512, 24551.38
39, 9407369216, 73826, 13472.94
40, 9663676416, 67240, 14821.52
41, 9663676416, 27277, 36483.35
42, 9663676416, 27503, 36234.44
43, 9663676416, 18045, 55477.83
44, 9663676416, 15899, 62598.35
45, 9663676416, 11785, 85085.71
46, 9663676416, 6967, 142876.28
47, 9663676416, 6575, 152076.06
48, 9663676416, 6285, 158931.29
49, 9663676416, 7335, 136064.76
50, 9663676416, 10529, 94958.06
51, 9663676416, 122807, 8069.55
52, 9663676416, 13721, 72291.65
53, 9663676416, 12520, 79730.07
54, 9663676416, 11192, 89189.57
55, 9663676416, 10036, 99553.64
56, 9663676416, 11708, 85337.62
57, 9663676416, 12920, 77461.28
58, 9663676416, 13248, 75121.37
59, 9663676416, 14005, 71392.22
60, 9663676416, 241019, 4032.60
61, 9663676416, 12548, 79532.74
62, 9663676416, 19762, 50474.79
63, 9663676416, 58833, 16895.82
64, 9663676416, 28497, 34998.15
65, 9663676416, 14380, 69464.09
66, 9663676416, 12044, 82868.48
67, 9663676416, 11736, 85159.36
68, 9663676416, 13913, 71752.32
69, 9663676416, 19199, 52014.11
70, 9663676416, 14084, 70852.01
71, 9663676416, 13476, 74071.17
72, 9663676416, 11667, 85530.62
73, 9663676416, 16300, 61244.06
74, 9663676416, 20466, 48744.57
75, 9663676416, 20663, 48252.07
76, 9663676416, 15176, 65889.48
77, 9663676416, 14016, 71146.25
78, 9663676416, 16688, 59793.53
79, 9663676416, 14952, 66836.32
80, 9663676416, 12880, 77421.63
81, 9663676416, 12988, 76917.73
82, 9663676416, 14708, 67802.62
83, 9663676416, 15184, 65806.92
84, 9663676416, 19536, 51060.66
85, 9663676416, 20984, 47516.52
86, 9663676416, 19128, 52153.33
87, 9663676416, 18142, 54996.81
88, 9663676416, 17962, 55573.32
89, 9663676416, 17376, 57462.30
90, 9663676416, 17572, 56752.82
91, 9663676416, 18308, 54541.61
92, 9663676416, 19264, 51794.85
93, 9663676416, 19776, 50421.76
94, 9663676416, 15272, 65430.76
95, 9663676416, 13613, 73252.00
96, 9663676416, 16595, 60170.74
97, 9663676416, 17128, 58257.39
98, 9663676416, 13680, 73080.66
99, 9663676416, 14656, 67978.32
100, 9663676416, 15198, 65678.86
101, 9663676416, 16994, 58768.62
102, 9663676416, 18248, 54706.96
103, 9663676416, 18336, 54357.27
104, 9663676416, 17400, 57355.96
105, 9663676416, 18208, 54804.37
106, 9663676416, 18169, 54917.20
107, 9663676416, 19114, 52197.49
108, 9663676416, 17901, 55812.71
109, 9663676416, 17808, 56025.02
110, 9663676416, 18708, 53280.97
111, 9663676416, 18836, 53026.49
112, 9663676416, 18951, 52593.43
113, 9663676416, 19065, 52373.22
114, 9663676416, 20964, 47549.04
115, 9663676416, 19796, 50388.52
116, 9663676416, 18712, 53370.74
117, 9663676416, 17976, 55456.71
118, 9663676416, 14928, 66916.55
119, 9663676416, 17416, 57254.95
120, 9663676416, 16376, 61113.62
121, 9663676416, 16640, 59853.97
122, 9663676416, 19472, 51209.09
123, 9663676416, 20576, 48511.80
124, 9663676416, 18056, 55235.49
125, 9663676416, 17013, 58656.10
126, 9663676416, 12787, 78075.79
127, 9663676416, 18000, 55471.54
128, 9663676416, 17272, 57799.66
129, 9663676416, 18328, 54418.48
130, 9663676416, 18700, 53356.21
131, 9663676416, 15293, 65234.17
132, 9663676416, 29043, 34270.20
133, 9663676416, 36547, 27218.46
134, 9663676416, 35953, 27663.53
135, 9663676416, 31168, 31983.44
136, 9663676416, 18512, 53857.34
137, 9663676416, 23848, 41828.65
138, 9663676416, 41392, 23991.05
139, 9663676416, 53800, 18460.52
140, 9663676416, 49080, 20256.34
141, 9663676416, 39553, 25121.61
142, 9663676416, 49871, 19935.90
143, 9663676416, 51728, 19216.62
